team_id,player_id
8,10001
12,10005
10,10008
3,10011
6,10015
2,10020
5,10021
7,10022
7,10023
9,10024
6,10027
9,10029
3,10031
4,10032
2,10034
3,10036
12,10038
5,10039
3,10041
12,10045
5,10048
8,10050
6,10052
6,10055
7,10056
2,10057
5,10061
7,10062
2,10067
8,10071
1,10072
1,10073
8,10076
4,10080
7,10081
8,10083
7,10085
8,10086
4,10087
10,10088
7,10090
5,10091
8,10092
3,10093
2,10095
5,10097
2,10098
8,10099
1,10102
10,10104
8,10109
3,10112
7,10113
9,10114
2,10115
9,10117
5,10121
6,10123
9,10127
6,10128
3,10129
11,10130
3,10132
6,10133
2,10134
5,10136
9,10137
8,10138
11,10140
8,10141
1,10142
10,10143
3,10144
10,10146
1,10147
11,10149
6,10151
2,10154
7,10156
5,10157
3,10159
5,10160
12,10162
4,10163
7,10165
4,10166
10,10167
12,10170
4,10172
9,10178
9,10179
11,10181
12,10182
4,10185
2,10186
7,10191
2,10193
2,10194
4,10195
11,10196
9,10197
1,10198
6,10200
6,10203
12,10204
9,10206
10,10207
4,10209
11,10212
12,10213
11,10215
4,10219
3,10220
2,10221
3,10224
1,10226
8,10227
8,10230
3,10232
12,10235
4,10236
6,10237
8,10238
2,10239
2,10240
9,10247
8,10248
9,10249
6,10251
11,10252
6,10253
5,10255
5,10258
11,10260
7,10261
7,10262
1,10263
1,10264
2,10265
11,10266
11,10267
2,10274
11,10275
11,10278
6,10279
11,10283
2,10285
4,10286
4,10287
3,10288
9,10290
11,10293
6,10294
10,10295
8,10297
5,10299
5,10301
4,10304
5,10305
3,10307
4,10309
12,10310
10,10312
10,10313
2,10315
12,10316
8,10319
4,10320
10,10324
3,10326
11,10329
11,10331
4,10332
3,10333
10,10335
1,10336
10,10341
3,10342
8,10343
1,10345
7,10346
10,10348
12,10351
12,10352
2,10353
6,10355
5,10357
6,10360
1,10361
11,10363
4,10364
8,10366
5,10368
5,10369
7,10370
12,10371
8,10372
10,10374
6,10375
10,10376
1,10378
8,10379
12,10380
8,10381
2,10382
7,10385
8,10388
1,10390
7,10391
5,10393
4,10394
9,10395
7,10397
10,10400
11,10401
12,10404
3,10405
3,10409
1,10410
3,10411
3,10412
3,10417
5,10418
5,10419
9,10421
7,10422
4,10424
8,10425
1,10426
6,10428
9,10429
12,10431
10,10437
6,10438
10,10440
2,10441
12,10442
5,10445
1,10446
10,10447
5,10448
7,10449
4,10450
11,10453
7,10455
4,10456
1,10461
3,10462
1,10464
6,10466
1,10469
12,10470
3,10471
12,10472
2,10473
9,10476
3,10478
12,10479
3,10480
10,10482
1,10483
5,10484
12,10485
11,10486
10,10487
11,10488
11,10489
4,10490
11,10491
9,10494
12,10495
6,10496
5,10497
9,10499
7,10500
2,10504
1,10505
11,10507
6,10508
9,10509
1,10510
10,10511
12,10512
7,10513
10,10514
9,10515
8,10518
8,10519
1,10522
4,10523
7,10525
12,10526
9,10527
1,10528
